# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
shen ke le 	深刻了	c=1 d=1.99162e-17 t=20166
shen me 	什麼	c=49 d=0.995012 t=20166
shen me 	甚麼	c=1 d=8.52116e-30 t=20166
shen me bei na nie le 	什麼被拿捏了	c=1 d=2.53969e-24 t=20166
shen me di fang 	什麼地方	c=1 d=2.86749e-11 t=20166
shen me dong xi 	什麼東西	c=2 d=0.000978001 t=20166
shen me ge shi de 	什麼格式的	c=1 d=2.87393e-08 t=20166
shen me ri qi 	什麼日期	c=1 d=0.000735471 t=20166
shen me shi 	什麼是	c=2 d=0.292293 t=20166
shen me shi hou 	什麼時候	c=2 d=0.000805276 t=20166
shen me shi mo xing 	什麼是模型	c=1 d=2.01026e-09 t=20166
shen me yi si 	什麼意思	c=2 d=2.37089e-09 t=20166
shen me yuan ze 	什麼原則	c=1 d=4.82073e-05 t=20166
shen pi 	審批	c=6 d=4.80065e-17 t=20166
shen qing 	申請	c=5 d=0.782705 t=20166
shen ru 	深入	c=1 d=0.000420107 t=20166
shen shi 	審視	c=1 d=1.16342e-16 t=20166
shen wen 	深問	c=1 d=1.98033e-09 t=20166
shen zhen 	深圳	c=1 d=3.33098e-09 t=20166
shen zhi 	甚至	c=1 d=0.0510474 t=20166
sheng 	勝	c=2 d=1.23154e-09 t=20166
sheng 	昇	c=1 d=0.0109742 t=20166
sheng 	生	c=2 d=1.85123e-10 t=20166
sheng chan 	生產	c=4 d=6.13376e-10 t=20166
sheng chan huan jing 	生產環境	c=1 d=1.45321e-15 t=20166
sheng chan li 	生产力	c=1 d=3.19928e-05 t=20166
sheng chen 	生辰	c=1 d=0.00050296 t=20166
sheng cheng 	生成	c=1 d=4.8515e-21 t=20166
sheng ci 	生詞	c=1 d=9.16765e-08 t=20166
sheng hua 	昇華	c=1 d=0.0352602 t=20166
sheng ji 	升級	c=9 d=0.642515 t=20166
sheng le 	生了	c=2 d=2.14745e-13 t=20166
sheng qu 	省去	c=1 d=2.60673e-07 t=20166
sheng ren 	勝任	c=1 d=1.54412e-23 t=20166
sheng ri 	生日	c=1 d=0.000561894 t=20166
sheng ri bei 	生日被	c=1 d=0.000642592 t=20166
sheng shi 	省事	c=0 d=8.62468e-26 t=20166
sheng shi yi dian 	省事一點	c=1 d=8.66791e-25 t=20166
sheng tai 	生態	c=2 d=7.20026e-19 t=20166
sheng xiao 	生效	c=1 d=4.88345e-10 t=20166
sheng xiao hai 	生小孩	c=1 d=2.56792e-07 t=20166
sheng yu 	剩餘	c=1 d=4.7375e-06 t=20166
sheng yu 	生魚	c=1 d=4.71388e-06 t=20166
shi 	使	c=1 d=4.06777e-07 t=20166
shi 	室	c=1 d=7.02129e-17 t=20166
shi 	師	c=1 d=0.0325493 t=20166
shi 	施	c=1 d=3.848e-30 t=20166
shi 	是	c=356 d=4.02496 t=20166
shi 	時	c=11 d=0.192821 t=20166
shi 	試	c=2 d=0.0133665 t=20166
shi a 	是啊	c=1 d=0.460704 t=20166
shi ba 	是吧	c=1 d=7.75708e-13 t=20166
shi bai 	失敗	c=5 d=0.0190387 t=20166
shi bai lv 	失敗率	c=1 d=0.00138093 t=20166
shi bai lv 	是白率	c=1 d=0.00137404 t=20166
shi ban gong bei 	事半功倍	c=1 d=5.03046e-06 t=20166
shi bie 	識別	c=10 d=0.00214422 t=20166
shi bie jie guo 	識別結果	c=1 d=1.61717e-08 t=20166
shi bie lv 	識別率	c=1 d=1.71718e-08 t=20166
shi bu 	是不	c=3 d=0.0992613 t=20166
shi bu shi 	是不是	c=33 d=1.09444 t=20166
shi bu shi 	時不時	c=1 d=0.00904991 t=20166
shi chang 	市場	c=2 d=0.00760195 t=20166
shi chang 	時長	c=1 d=0.0234005 t=20166
shi chen me 	是陳麼	c=1 d=1.05834e-20 t=20166
shi chui 	石錘	c=1 d=1.38521e-10 t=20166
shi dai 	時代	c=1 d=3.85599e-25 t=20166
shi de 	是的	c=31 d=0.0779219 t=20166
shi de ne 	是的呢	c=1 d=3.89275e-19 t=20166
shi de o 	是的哦	c=2 d=0.0131675 t=20166
shi de ya 	是的呀	c=1 d=1.56773e-25 t=20166
shi dian 	十點	c=1 d=8.22808e-30 t=20166
shi duo le 	是多了	c=1 d=0.000110555 t=20166
shi duo shao 	是多少	c=1 d=2.27321e-14 t=20166
shi er 	事兒	c=0 d=1.78847e-17 t=20166
shi fou 	是否	c=9 d=1.31935e-07 t=20166
shi ge 	是個	c=6 d=4.79669e-05 t=20166
shi hai mei 	是還沒	c=1 d=3.40822e-14 t=20166
shi he 	適合	c=5 d=9.30462e-06 t=20166
shi he ni 	適合你	c=1 d=2.09587e-29 t=20166
shi hou 	時候	c=31 d=0.873879 t=20166
shi ji 	實際	c=18 d=0.797545 t=20166
shi ji de 	實際的	c=2 d=5.84456e-06 t=20166
shi ji fen zhong 	十幾分鍾	c=1 d=3.93054e-15 t=20166
shi ji shang 	實際上	c=1 d=1.79249e-13 t=20166
shi ji shi 	實際是	c=2 d=3.32294e-10 t=20166
shi ji zhi 	實際值	c=3 d=4.85499e-23 t=20166
shi jian 	事件	c=1 d=5.7595e-10 t=20166
shi jian 	實踐	c=3 d=3.79197e-07 t=20166
shi jian 	時間	c=42 d=1.25977 t=20166
shi jian chuo 	時間戳	c=2 d=4.51903e-09 t=20166
shi jian de 	時間的	c=1 d=0.873716 t=20166
shi jian dian 	時間點	c=2 d=0.111359 t=20166
shi jian jian ge 	時間間隔	c=1 d=0.00278085 t=20166
shi jian lang fei 	時間浪費	c=1 d=1.91385e-19 t=20166
shi jian shang 	實踐上	c=1 d=5.95229e-15 t=20166
shi jian shuo 	時間說	c=1 d=3.9879e-09 t=20166
shi jian wen ti le 	時間問題了	c=1 d=2.0608e-07 t=20166
shi jiao 	視角	c=2 d=3.05507e-13 t=20166
shi jie 	世界	c=2 d=1.92115e-05 t=20166
shi jie he ping 	世界和平	c=1 d=2.4059e-05 t=20166
shi jing 	失敬	c=2 d=0.0801103 t=20166
shi kan dao le 	是看到了	c=1 d=3.11806e-26 t=20166
shi ke yi 	是可以	c=2 d=2.32917e-06 t=20166
shi le 	試了	c=1 d=3.24763e-06 t=20166
shi le yi xia 	試了一下	c=1 d=3.26391e-05 t=20166
shi li 	實例	c=7 d=8.95034e-13 t=20166
shi li 	示例	c=1 d=2.44434e-15 t=20166
shi li shu 	實例數	c=1 d=1.45747e-20 t=20166
shi li shu liang 	實例數量	c=1 d=4.50094e-21 t=20166
shi liu 	石榴	c=1 d=4.29704e-05 t=20166
shi ma 	是嗎	c=7 d=1.39972e-10 t=20166
shi mao 	時髦	c=1 d=0.0043831 t=20166
shi na ge 	是哪個	c=2 d=9.7729e-13 t=20166
shi ni 	是你	c=1 d=3.34017e-12 t=20166
shi pei 	適配	c=1 d=2.81654e-06 t=20166
shi pin 	視頻	c=6 d=0.600496 t=20166
shi qing 	事情	c=20 d=0.577061 t=20166
shi run 	溼潤	c=0 d=0.0995012 t=20166
shi sha 	是啥	c=4 d=2.02034e-09 t=20166
shi shei 	是誰	c=1 d=1.85602e-11 t=20166
shi shen me 	是什麼	c=6 d=0.00019258 t=20166
shi shi 	事實	c=2 d=2.37662e-08 t=20166
shi shi 	實施	c=1 d=2.44426e-44 t=20166
shi shi 	實時	c=0 d=7.04306e-25 t=20166
shi shi 	試試	c=2 d=5.31488e-06 t=20166
shi shi hou 	是時候	c=1 d=6.24982e-30 t=20166
shi shi kan 	試試看	c=3 d=0.00631391 t=20166
shi shi shang 	事實上	c=1 d=1.67911e-09 t=20166
shi shi xun lian 	實時訓練	c=1 d=7.07836e-24 t=20166
shi shuo 	世硕	c=2 d=1.47874e-14 t=20166
shi shuo 	是說	c=1 d=1.48615e-14 t=20166
shi ti 	實體	c=1 d=6.95142e-17 t=20166
shi tong guo 	是通過	c=1 d=1.99473e-06 t=20166
shi tu 	試圖	c=1 d=0.178173 t=20166
shi wei le 	是爲了	c=2 d=0.287941 t=20166
shi wo 	是我	c=3 d=0.276651 t=20166
shi wu 	事務	c=1 d=6.03917e-09 t=20166
shi wu 	事物	c=1 d=3.05476e-20 t=20166
shi xian 	實現	c=4 d=1.13133e-06 t=20166
shi xian qi lai 	實現起來	c=1 d=5.66103e-13 t=20166
shi xiang 	是想	c=1 d=7.45165e-11 t=20166
shi xu 	時序	c=1 d=4.30289e-21 t=20166
shi xu 	時許	c=0 d=2.06361e-24 t=20166
shi xu shu ju 	時許數據	c=1 d=2.07395e-23 t=20166
shi yan 	實驗	c=4 d=0.000287688 t=20166
shi yan jie guo 	實驗結果	c=2 d=2.67531e-22 t=20166
shi yan shi 	實驗室	c=1 d=4.71869e-18 t=20166
shi yao 	是要	c=1 d=1.22857e-10 t=20166
shi yi 	十一	c=2 d=1.02896e-09 t=20166
shi yi ge 	十一個	c=2 d=3.08977e-07 t=20166
shi yi tiao 	是一條	c=1 d=0.000169951 t=20166
shi yi xia 	試一下	c=2 d=7.50711e-10 t=20166
shi yi zhong 	是一種	c=4 d=1.15086e-06 t=20166
shi yin wei 	是因爲	c=1 d=2.20715e-20 t=20166
shi ying 	適應	c=1 d=4.93085e-06 t=20166
shi ying gai 	是應該	c=1 d=7.86602e-30 t=20166
shi yong 	使用	c=66 d=2.74598 t=20166
shi yong 	試用	c=1 d=0.017163 t=20166
shi yong qi 	試用期	c=3 d=4.8706e-18 t=20166
shi you 	是有	c=2 d=1.89287e-07 t=20166
shi you ba jiu 	十有八九	c=2 d=3.12135e-09 t=20166
shi zai 	是在	c=1 d=0.00170362 t=20166
shi zhe 	試着	c=1 d=4.36272e-07 t=20166
shi zhe ge 	是這個	c=2 d=1.83312e-12 t=20166
shi zhe ge bu 	是這個不	c=1 d=2.14564e-11 t=20166
shi zhe yang 	是這樣	c=3 d=3.58703e-22 t=20166
shi zhen de 	是真的	c=1 d=9.56811e-11 t=20166
shi zhi jiao bi 	失之交臂	c=1 d=1.7404e-19 t=20166
shou 	收	c=4 d=1.23792e-11 t=20166
shou biao 	手錶	c=2 d=8.13692e-06 t=20166
shou bing 	手柄	c=2 d=3.22925e-10 t=20166
shou bu 	手部	c=1 d=0.00111378 t=20166
shou cuo 	手銼	c=1 d=2.64334e-24 t=20166
shou dan 	收單	c=1 d=8.65611e-09 t=20166
shou dang qi chong 	首当其冲	c=1 d=8.85082e-06 t=20166
shou dao 	收到	c=11 d=0.97531 t=20166
shou dong 	手動	c=1 d=1.68197e-29 t=20166
shou duan 	手段	c=3 d=4.22357e-08 t=20166
shou gou 	收購	c=1 d=1.09039e-18 t=20166
shou hai zhe 	受害者	c=1 d=5.73468e-18 t=20166
shou huo 	收穫	c=0 d=8.6068e-31 t=20166
shou huo ma 	收穫嗎	c=1 d=8.64994e-30 t=20166
shou ji 	手機	c=5 d=0.0218694 t=20166
shou ji 	收集	c=8 d=0.112277 t=20166
shou ji ping mu 	手機屏幕	c=1 d=6.40804e-30 t=20166
shou ji shang 	手機上	c=1 d=0.0186856 t=20166
shou kuan 	收款	c=0 d=3.49331e-11 t=20166
shou li 	手裏	c=1 d=2.69958e-07 t=20166
shou quan 	授權	c=1 d=0.00822975 t=20166
shou xian 	首先	c=6 d=0.729803 t=20166
shou xiang 	首相	c=1 d=2.78132e-05 t=20166
shou xuan 	首選	c=1 d=1.30432e-08 t=20166
shu 	數	c=8 d=6.31499e-06 t=20166
shu 	書	c=6 d=0.254069 t=20166
shu 	舒	c=1 d=4.62841e-26 t=20166
shu biao 	鼠標	c=1 d=7.20761e-31 t=20166
shu chu 	輸出	c=17 d=0.167169 t=20166
shu chu dao 	輸出到	c=1 d=1.55805e-11 t=20166
shu chu de 	輸出的	c=1 d=6.67204e-05 t=20166
shu e 	數額	c=1 d=0.000113922 t=20166
shu fu 	舒服	c=1 d=7.00554e-20 t=20166
shu gong 	舒工	c=1 d=4.964e-26 t=20166
shu ju 	數據	c=204 d=1.34711 t=20166
shu ju bao 	數據報	c=3 d=1.41021e-14 t=20166
shu ju de 	數據的	c=1 d=1.61382e-13 t=20166
shu ju fen xi 	數據分析	c=8 d=0.00019387 t=20166
shu ju ji 	數據集	c=13 d=1.93654e-11 t=20166
shu ju jie gou 	數據結構	c=1 d=2.51528e-28 t=20166
shu ju jie gou zhong 	數據結構中	c=1 d=3.04004e-22 t=20166
shu ju ke shi hua 	數據可視化	c=1 d=5.82432e-24 t=20166
shu ju ku 	數據庫	c=4 d=1.01804e-08 t=20166
shu ju kuai 	數據快	c=1 d=2.97013e-13 t=20166
shu ju liang 	數據量	c=7 d=7.7455e-08 t=20166
shu ju liu 	數據流	c=1 d=4.45388e-15 t=20166
shu ju shang 	數據上	c=1 d=1.67911e-09 t=20166
shu ju xia zai 	數據下載	c=1 d=4.15772e-29 t=20166
shu lai 	數來	c=0 d=9.34777e-32 t=20166
shu li 	書立	c=2 d=6.54092e-27 t=20166
shu li 	梳理	c=5 d=1.13647e-05 t=20166
shu lian 	熟練	c=1 d=1.75789e-19 t=20166
shu liang 	數量	c=13 d=0.000448016 t=20166
shu qian 	書簽	c=3 d=1.61974e-16 t=20166
shu ru 	輸入	c=43 d=0.605291 t=20166
shu ru fa 	輸入法	c=21 d=0.869358 t=20166
shu ru fa de 	輸入法的	c=1 d=1.10307e-07 t=20166
shu ru fang an 	輸入方案	c=1 d=0.000871757 t=20166
shu ru hou 	輸入後	c=1 d=1.60884e-06 t=20166
shu tan 	舒坦	c=1 d=0.0689068 t=20166
shu xi 	熟悉	c=2 d=0.313298 t=20166
shu xing 	屬性	c=1 d=0.408608 t=20166
shu xu guan 	鼠鬚管	c=10 d=1.95566 t=20166
shu xue 	數學	c=18 d=0.00222249 t=20166
shu xue guan xi 	數學關係	c=1 d=0.000166586 t=20166
shu xue han shu 	數學函數	c=1 d=5.78837e-10 t=20166
shu xue xi 	數學系	c=1 d=8.08053e-23 t=20166
shu you shu lie 	熟優熟劣	c=1 d=1.14096e-22 t=20166
shu yu 	屬於	c=13 d=2.35613e-05 t=20166
shu zhi 	數值	c=5 d=0.000113922 t=20166
shu zhi xing 	數值型	c=3 d=4.51452e-23 t=20166
shu zi 	數字	c=4 d=0.000944363 t=20166
shu zu 	數組	c=2 d=5.40206e-28 t=20166
shua ka 	刷卡	c=1 d=9.2724e-24 t=20166
shua xin 	刷新	c=2 d=0.000355198 t=20166
shuai ruo 	衰弱	c=1 d=0.355226 t=20166
shuang 	爽	c=1 d=0.102797 t=20166
shuang pin 	雙拼	c=2 d=0.099005 t=20166
shuang yin hao 	雙引號	c=1 d=1.0406e-27 t=20166
shui 	水	c=3 d=0.0116203 t=20166
shui 	睡	c=1 d=3.84145e-11 t=20166
shui bu zhao 	睡不著	c=0 d=2.67499e-18 t=20166
shui bu zhao le 	睡不著了	c=1 d=2.6884e-17 t=20166
shui guo 	水果	c=1 d=5.34516e-14 t=20166
shui jiao 	睡覺	c=0 d=3.93937e-13 t=20166
shui liu 	水流	c=2 d=1.0048e-14 t=20166
shui ni na 	睡你那	c=1 d=3.86071e-10 t=20166
shui ping 	水平	c=0 d=2.3159e-28 t=20166
shui ping kuo zhan 	水平擴展	c=1 d=2.32751e-27 t=20166
shui tong 	水桶	c=1 d=4.94698e-15 t=20166
shun li 	順利	c=1 d=0.189191 t=20166
shun xu 	順序	c=1 d=1.25813e-25 t=20166
shun zhe 	順着	c=1 d=1.42739e-10 t=20166
shuo 	說	c=19 d=0.0065013 t=20166
shuo bai le 	說白了	c=1 d=1.60632e-17 t=20166
shuo bu ding 	說不定	c=1 d=3.46268e-24 t=20166
shuo dao 	說道	c=3 d=0.315058 t=20166
shuo dao shuo dao 	說道說道	c=1 d=1.2254e-09 t=20166
shuo de 	說的	c=9 d=0.000555313 t=20166
shuo de shi qing 	說的事情	c=1 d=1.83849e-17 t=20166
shuo duo 	說多	c=1 d=0.000587285 t=20166
shuo fa 	說法	c=0 d=1.95384e-28 t=20166
shuo fu 	說服	c=0 d=1.15702e-11 t=20166
shuo fu li 	說服裏	c=1 d=1.16282e-10 t=20166
shuo ge 	說個	c=2 d=0.00733572 t=20166
shuo le 	說了	c=1 d=3.69146e-12 t=20166
shuo luo 	說摞	c=0 d=2.01444e-05 t=20166
shuo ming 	說明	c=2 d=9.39813e-06 t=20166
shuo ming shu 	說明書	c=1 d=1.28267e-17 t=20166
shuo ne 	說呢	c=0 d=2.67331e-10 t=20166
shuo shi 	說是	c=1 d=3.94205e-20 t=20166
shuo shi de 	說是的	c=1 d=1.33271e-26 t=20166
shuo shi hua 	說實話	c=3 d=7.71111e-07 t=20166
shuo shuo 	說說	c=1 d=1.04439e-11 t=20166
shuo xia 	說下	c=3 d=2.41295e-10 t=20166
shuo xie shen me 	說些什麼	c=1 d=2.06396e-25 t=20166
si 	四	c=1 d=5.03645e-20 t=20166
si 	死	c=1 d=4.11215e-17 t=20166
si fang 	四方	c=1 d=1.38903e-13 t=20166
si hu 	似乎	c=15 d=0.40996 t=20166
si hu shi 	似乎是	c=1 d=3.41171e-26 t=20166
si ji 	斯基	c=0 d=4.46237e-09 t=20166
si jian 	四件	c=1 d=1.28687e-26 t=20166
si kao 	思考	c=2 d=0.0198411 t=20166
si lu 	思路	c=9 d=2.26242e-09 t=20166
si nuo 	斯諾	c=0 d=0.000190171 t=20166
si nuo deng 	斯諾登	c=1 d=0.00191125 t=20166
si ren 	私人	c=1 d=8.29382e-06 t=20166
si wei 	思維	c=2 d=2.63293e-07 t=20166
si xiang 	思想	c=3 d=6.16327e-20 t=20166
song 	送	c=2 d=1.07606e-09 t=20166
song bei 	送唄	c=1 d=0.0788664 t=20166
song ni 	送你	c=1 d=1.36129e-11 t=20166
song qian 	送錢	c=1 d=0.000750328 t=20166
song yi ge 	送一個	c=1 d=4.49788e-13 t=20166
sou 	搜	c=3 d=1.18878e-05 t=20166
sou dao 	搜到	c=0 d=2.23822e-09 t=20166
sou gou 	搜狗	c=3 d=5.88879e-07 t=20166
sou le 	搜了	c=0 d=3.48392e-27 t=20166
sou le yi quan 	搜了一圈	c=1 d=1.06694e-27 t=20166
sou le yi xia 	搜了一下	c=1 d=3.39469e-26 t=20166
sou suo 	搜索	c=7 d=0.855172 t=20166
sou suo zhong 	搜索中	c=1 d=0.324652 t=20166
su 	蘇	c=1 d=5.77834e-19 t=20166
su cai 	素材	c=2 d=1.31921e-16 t=20166
su du 	速度	c=1 d=6.91087e-07 t=20166
su qiu 	訴求	c=1 d=6.34772e-07 t=20166
su zhi 	素質	c=1 d=4.29032e-16 t=20166
suan 	算	c=6 d=0.00307331 t=20166
suan bu 	算不	c=1 d=5.80731e-19 t=20166
suan bu chu lai 	算不出來	c=1 d=2.54982e-12 t=20166
suan bu suan 	算不算	c=1 d=9.55967e-30 t=20166
suan de 	算得	c=4 d=0.000205513 t=20166
suan fa 	算法	c=2 d=5.97704e-05 t=20166
suan le 	算了	c=2 d=2.18296e-08 t=20166
suan le suan 	算了算	c=1 d=1.97348e-27 t=20166
suan le yi xia 	算了一下	c=1 d=1.11799e-18 t=20166
suan qiu 	算球	c=1 d=1.09339e-21 t=20166
suan shi 	算是	c=2 d=8.4876e-13 t=20166
suan wei 	酸味	c=1 d=2.83847e-09 t=20166
suan yi ge 	算一個	c=1 d=4.1228e-18 t=20166
suan zuo 	算作	c=2 d=2.65379e-05 t=20166
sui 	隨	c=1 d=6.72627e-12 t=20166
sui bian 	隨便	c=1 d=0.00527125 t=20166
sui bian chi 	隨便池	c=1 d=1.15384e-07 t=20166
sui bian jiao 	隨便叫	c=1 d=0.0464212 t=20166
sui le 	碎了	c=1 d=0.00326335 t=20166
sui pian 	碎片	c=6 d=4.50956 t=20166
sui ran 	雖然	c=5 d=0.0202419 t=20166
sui shi 	隨時	c=3 d=0.0730979 t=20166
sui xin 	隨心	c=1 d=1.05651e-29 t=20166
sui zhe 	隨着	c=3 d=1.75185 t=20166
suo 	所	c=2 d=0.27901 t=20166
suo huo 	所獲	c=0 d=4.48779e-17 t=20166
suo huo de 	所獲的	c=1 d=1.07785e-29 t=20166
suo yi 	所以	c=18 d=0.141586 t=20166
suo yi jiu 	所以就	c=1 d=5.06342e-24 t=20166
suo you 	所有	c=11 d=0.0877896 t=20166
suo you ren 	所有人	c=1 d=3.4753e-08 t=20166
suo yu 	所欲	c=1 d=1.0618e-29 t=20166
suo zai 	所在	c=1 d=8.01265e-12 t=20166
ta 	他	c=25 d=0.722672 t=20166
ta 	她	c=1 d=7.99468e-15 t=20166
ta 	它	c=10 d=3.70912e-06 t=20166
ta cai chi 	他才池	c=1 d=5.57485e-09 t=20166
ta de 	他的	c=12 d=1.17291 t=20166
ta dou de shi hou 	他都的時候	c=1 d=2.81406e-25 t=20166
ta gong zuo 	他工作	c=1 d=1.67592e-16 t=20166
ta hai dei 	他還得	c=1 d=4.70171e-05 t=20166
ta hui 	他會	c=1 d=1.84388e-22 t=20166
ta hui jia le 	他回家了	c=1 d=2.03323e-25 t=20166
ta li mian 	它裏面	c=1 d=6.13983e-27 t=20166
ta lia 	他倆	c=1 d=1.17411e-06 t=20166
ta ma 	他媽	c=1 d=4.29777e-07 t=20166
ta men 	他們	c=43 d=0.803243 t=20166
ta men de 	他們的	c=1 d=3.25881e-16 t=20166
ta na 	他那	c=1 d=7.61125e-25 t=20166
ta na bian de 	他那邊的	c=1 d=1.01422e-19 t=20166
ta na ge 	他那個	c=4 d=0.0300468 t=20166
ta na ge le 	他那個了	c=1 d=2.8853e-25 t=20166
ta neng 	他能	c=1 d=7.46967e-10 t=20166
ta niang 	他娘	c=0 d=4.05658e-05 t=20166
ta ren 	他人	c=1 d=2.90578e-20 t=20166
ta shi 	他是	c=3 d=0.0381969 t=20166
ta shi 	她是	c=1 d=0.00103848 t=20166
ta shuo 	他說	c=4 d=0.0122773 t=20166
ta ta ma de 	他他媽的	c=1 d=1.08794e-21 t=20166
ta yao 	他要	c=2 d=1.72191e-11 t=20166
ta yao ting 	他要聽	c=1 d=3.98099e-18 t=20166
ta yu dao 	他遇到	c=1 d=0.00501661 t=20166
ta zhe ge 	他這個	c=1 d=2.17806e-11 t=20166
ta zhe me shuo 	他這麼說	c=1 d=1.1584e-24 t=20166
ta zhi neng 	他只能	c=1 d=4.53367e-18 t=20166
ta zhi qian 	他之前	c=1 d=4.27401e-30 t=20166
ta zuo le 	他做了	c=1 d=8.78394e-05 t=20166
tai 	太	c=13 d=0.00804498 t=20166
tai 	臺	c=0 d=0.000278085 t=20166
tai da 	太大	c=1 d=1.33411e-09 t=20166
tai di 	太低	c=0 d=3.18712e-20 t=20166
tai duo 	太多	c=2 d=0.00941925 t=20166
tai duo le 	太多了	c=3 d=0.000277414 t=20166
tai gui le 	太貴了	c=1 d=4.72688e-09 t=20166
tai hao 	太好	c=0 d=5.65911e-10 t=20166
tai hao chi le 	太好遲了	c=1 d=5.68747e-09 t=20166
tai hao de 	太好的	c=1 d=4.61096e-11 t=20166
tai ji 	胎記	c=1 d=0.0010701 t=20166
tai jian dan 	太簡單	c=1 d=7.32176e-10 t=20166
tai nan 	太難	c=0 d=5.66103e-14 t=20166
tai neng 	太能	c=1 d=4.96923e-09 t=20166
tai shao 	太少	c=1 d=0.00160441 t=20166
tai shao le 	太少了	c=1 d=6.70548e-05 t=20166
tai wan hua 	臺灣話	c=1 d=0.00115923 t=20166
tai xiao le 	太小了	c=1 d=7.69978e-14 t=20166
tan 	談	c=3 d=0.537944 t=20166
tan hua yi xian 	昙花一现	c=1 d=2.43132e-11 t=20166
tan lun 	談論	c=1 d=0.453845 t=20166
tan suo 	探索	c=6 d=0.000381575 t=20166
tan suo de 	探索的	c=1 d=1.67216e-19 t=20166
tan tan 	談談	c=1 d=0.0235177 t=20166
tang 	淌	c=2 d=0.501576 t=20166
tao le 	套了	c=1 d=2.51185e-12 t=20166
tao lun 	討論	c=26 d=7.57556 t=20166
te 	特	c=1 d=1.66269e-11 t=20166
te bie 	特別	c=2 d=9.35931e-26 t=20166
te cheng 	特稱	c=1 d=5.59595e-24 t=20166
te ding 	特定	c=6 d=3.47707e-14 t=20166
te shu 	特殊	c=3 d=1.60336e-06 t=20166
te shu chu li 	特殊處理	c=1 d=2.63105e-28 t=20166
te shu de 	特殊的	c=1 d=3.57798e-27 t=20166
te xing 	特性	c=4 d=0.261492 t=20166
te zheng 	特徵	c=13 d=0.000236399 t=20166
te zheng shu ju 	特徵數據	c=1 d=7.67728e-09 t=20166
ti 	提	c=5 d=5.25084e-09 t=20166
ti chu 	提出	c=3 d=0.00366107 t=20166
ti chu de 	提出的	c=1 d=4.83059e-29 t=20166
ti dai 	替代	c=4 d=2.8025e-06 t=20166
ti dai pin 	替代品	c=1 d=0.0042963 t=20166
ti dao 	提到	c=3 d=0.000878245 t=20166
ti dao de 	提到的	c=1 d=3.33608e-27 t=20166
ti dao le 	提到了	c=2 d=9.7095e-26 t=20166
ti de 	體的	c=1 d=6.17061e-27 t=20166
ti dian 	提點	c=1 d=8.9953e-20 t=20166
ti du 	梯度	c=7 d=0.0024137 t=20166
ti du xia jiang 	梯度下降	c=1 d=9.75808e-07 t=20166
ti fang 	提防	c=0 d=5.37561e-23 t=20166
ti fang xiang 	提防想	c=1 d=5.40256e-22 t=20166
ti gao 	提高	c=4 d=6.74024e-07 t=20166
ti gong 	提供	c=13 d=0.782836 t=20166
ti gong de 	提供的	c=1 d=6.12294e-24 t=20166
ti gong le 	提供了	c=3 d=1.26592e-19 t=20166
ti hui 	體會	c=0 d=0.0970446 t=20166
ti ji 	體積	c=1 d=1.95417e-29 t=20166
ti le 	提了	c=1 d=5.75344e-27 t=20166
ti lian 	提煉	c=0 d=8.92581e-18 t=20166
ti qian 	提前	c=3 d=0.000214418 t=20166
ti qian fa xian 	提前發現	c=1 d=0.00215492 t=20166
ti qian kai 	提前開	c=1 d=4.54154e-09 t=20166
ti qian le 	提前了	c=1 d=3.52111e-15 t=20166
ti qu 	提取	c=6 d=0.205975 t=20166
ti sheng 	提升	c=1 d=6.28563e-09 t=20166
ti tai 	體態	c=2 d=0.000542133 t=20166
ti xi 	體系	c=8 d=2.79962e-07 t=20166
ti xi hua 	體系化	c=3 d=7.12255e-09 t=20166
ti xian 	體現	c=6 d=8.99515e-15 t=20166
ti xing 	提醒	c=0 d=0.000514361 t=20166
ti xing ni 	提醒你	c=1 d=7.23512e-17 t=20166
ti xu 	體恤	c=0 d=3.42414e-11 t=20166
ti yan 	體驗	c=2 d=0.00660453 t=20166
tian 	天	c=4 d=6.94268e-13 t=20166
tian di 	天地	c=0 d=7.284e-09 t=20166
tian hao 	填好	c=0 d=0.045612 t=20166
tian hao le o 	填好了哦	c=1 d=0.458406 t=20166
tian hua ban 	天花板	c=1 d=2.08506e-27 t=20166
tian jia 	添加	c=5 d=0.902391 t=20166
tian nei 	天內	c=1 d=1.7658e-13 t=20166
tian ran 	天然	c=3 d=4.77358e-07 t=20166
tian ran qi 	天然氣	c=0 d=5.58738e-07 t=20166
tian ran qi le 	天然氣了	c=1 d=5.61539e-06 t=20166
tian tang 	天堂	c=1 d=2.41994e-44 t=20166
tian tian 	天天	c=0 d=2.21166e-45 t=20166
tian zhu 	天主	c=2 d=4.44857e-05 t=20166
tiao 	條	c=3 d=3.82099e-06 t=20166
tiao 	調	c=1 d=2.52711e-10 t=20166
tiao 	跳	c=4 d=3.80194e-06 t=20166
tiao ban 	跳板	c=0 d=1.79873e-11 t=20166
tiao ban ji 	跳板既	c=1 d=1.90301e-11 t=20166
tiao ban ji 	跳板機	c=5 d=0.00181803 t=20166
tiao jian 	條件	c=4 d=8.82797e-05 t=20166
tiao jie 	調節	c=1 d=6.79619e-16 t=20166
tiao mu 	條目	c=1 d=9.47775e-17 t=20166
